职位名称,标签,城市,薪资,工作年限,学位要求,工作要求,公司名称,公司类型,人数,Logo,发布时间
Android开发工程师（汽车语音系统）,"3-4年,本科,汽车Android,Java,汽车语音产品,补充医疗保险,专业培训,年终奖金,定期体检,周末双休,法定节假日,节日福利,六险一金",上海上海嘉定区,2-2.4万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-jdq/152250632.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,Alten China Limited,外资（欧美）,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/19/18188/18187629/58aae3b18f77288dc49ed0dc8f4d4103_small.jpg?1661474411,2023-11-29 04:00:18
android开发工程师 安卓开发工程师,"1年,大专,android开发,工程师,安卓开发,工程师,APP软件开发,五险一金,通讯补贴,员工旅游,年终奖金",深圳深圳龙岗区,1.5-2万,1年,大专,https://jobs.51job.com/shenzhen-lgq/129027366.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市恒星智科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-29 04:00:33
Android,"3-4年,大专",江苏省南京江宁区,1-2万,3-4年,大专,https://jobs.51job.com/nanjing-jnq/152160182.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,北京爱可生信息技术股份有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-26 04:00:51
Android,"3-4年,本科",四川省成都高新区,1-1.8万,3-4年,本科,https://jobs.51job.com/chengdu-gxq/152199022.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,成都武侯融华口腔诊所有限公司,民营,少于50人,,2023-11-28 04:00:49
Android,"3-4年,本科,补充医疗保险,五险一金,专业培训,定期体检",四川省成都高新区,1-1.8万,3-4年,本科,https://jobs.51job.com/chengdu-gxq/152182072.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,盛世创客（成都）科技有限公司,民营,少于50人,,2023-11-27 04:00:47
Android系统开发工程师,"3-4年,本科,android,安卓开发,软件开发",重庆重庆江北区,0.8-1万,3-4年,本科,https://jobs.51job.com/chongqing-jbq/137336761.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,重庆渝宣科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_005_small.png,2023-11-29 10:15:35
Android研发工程师,"2年,本科,java,Android,五险一金,员工旅游,绩效奖金",上海上海闵行区,1-1.6万,2年,本科,https://jobs.51job.com/shanghai-mhq/143173378.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海寰创通信科技股份有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 13:25:16
Android应用开发工程师(J10257),"2年,本科,软件开发,android,mtk,android开发,rk,研发,五险一金,免费班车,定期体检",深圳深圳,1-1.5万,2年,本科,https://jobs.51job.com/shenzhen/148647744.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市康冠科技股份有限公司,已上市,5000-10000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 10:40:57
Android开发工程师,"2年,本科,安卓开发,做五休二,五险一金,补充医疗保险,通讯补贴,年终奖金,定期体检",湖北省武汉江岸区,15-25万/年,2年,本科,https://jobs.51job.com/wuhan-jaq/136197131.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,苏州广立信息技术有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-29 09:47:41
Android/安卓开发工程师,"5-7年,本科,计算机,需求分析,开发,解决方案,android,ios,开发工具,代码风格,团队开发,安卓开发,五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金",上海上海浦东新区,1.5-2万,5-7年,本科,https://jobs.51job.com/shanghai-pdxq/151730697.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海博为峰信息技术有限公司,民营,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 10:39:00
Android/安卓开发工程师,"3-4年,本科,计算机,编程,android,软件,五险一金,员工旅游,绩效奖金,年终奖金,弹性工作,零食无限供应,生日会,补充医疗保险,定期体检",上海上海闵行区,1.5-2万·14薪,3-4年,本科,https://jobs.51job.com/shanghai-mhq/151919731.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海瓶钵信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 11:19:37
Android系统开发工程师,"3-4年,本科,c++,android,系统架构,做五休二,弹性工作,带薪年假,节日福利,五险一金,员工旅游,年终奖金,周末双休",上海上海浦东新区,2-3.5万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151016492.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,上海畅联智融通讯科技有限公司,外资（非欧美）,150-500人,http://img01.51jobcdn.com/imehire/userportrait/14/13309/13308158/5206a9281c6c6baafc334f90743c456a_small.gif?1614766120,2023-11-29 04:00:33
Android软件开发工程师,"3-4年,本科,需求分析,软件开发,编程,设计模式,android,风险管理,性能调优,车载系统,车机系统,多媒体,五险一金,年终奖金,绩效奖金",安徽省合肥,9千-1.8万,3-4年,本科,https://jobs.51job.com/hefei/152231413.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,武汉万科祥盈管理服务有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 09:41:12
Android/JAVA开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152244233.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
Android/安卓开发工程师,"2年,本科,需求分析,开发,调试,mvc,app,设计模式,android,http协议,调优,mvvm",江苏省常州新北区,8千-1.5万,2年,本科,https://jobs.51job.com/changzhou-xbq/152187222.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-28 04:00:49
Android安卓开发工程师,"3-4年,本科,java,app,android,ui设计,计算机科学,需求确认,接口设计,布局,测试用例评审,androidsdk,五险一金,补充医疗保险,补充公积金,餐饮补贴,股票期权,年终奖金",深圳深圳南山区,2-3万·15薪,3-4年,本科,https://jobs.51job.com/shenzhen-nsq/152144196.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,恒玄科技（上海）股份有限公司,已上市,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_06_small.png,2023-11-26 04:00:51
Android开发工程师,"3-4年,本科,计算机,java,linux,软件工程,数据结构,app,设计模式,项目开发,xml,鸿蒙开发,五险一金,补充医疗保险,餐饮补贴,员工旅游,专业培训,弹性工作,定期体检,年终奖金,绩效奖金",上海上海闵行区浦江镇,1.2-2.2万,3-4年,本科,https://jobs.51job.com/shanghai-mhq/152263202.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,江苏嘉则信息技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-29 11:35:24
Android Freamwork工程师,"2年,本科,android,中间件,service,通信设备,架构设计,五险一金,员工旅游,专业培训,年终奖金,弹性工作",上海上海黄浦区,1.5-3万,2年,本科,https://jobs.51job.com/shanghai-hpq/150671330.html?s=sou_sou_soulb&t=0_0&req=5b915665e2073603197e9af91220096b,上海量栀通信技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 11:59:21
